Tempo, Referencia, Erro, Posicao
0.641000, 0.641000, 0.358408, 0.278592
0.644000, 0.644000, 0.357520, 0.283480
0.648000, 0.648000, 0.375183, 0.268817
0.651000, 0.651000, 0.359632, 0.288368
0.654000, 0.654000, 0.357745, 0.293255
0.658000, 0.658000, 0.385183, 0.268817
0.661000, 0.661000, 0.354970, 0.303030
0.664000, 0.664000, 0.357970, 0.303030
0.668000, 0.668000, 0.400070, 0.263930
0.671000, 0.671000, 0.360082, 0.307918
0.674000, 0.674000, 0.358195, 0.312805
0.678000, 0.678000, 0.414958, 0.259042
0.681000, 0.681000, 0.365194, 0.312805
0.685000, 0.685000, 0.368195, 0.312805
0.689000, 0.689000, 0.357532, 0.327468
0.692000, 0.692000, 0.376195, 0.312805
0.695000, 0.695000, 0.374307, 0.317693
0.699000, 0.699000, 0.377307, 0.317693
0.702000, 0.702000, 0.381307, 0.317693
0.705000, 0.705000, 0.384307, 0.317693
0.709000, 0.709000, 0.387307, 0.317693
0.712000, 0.712000, 0.391307, 0.317693
0.715000, 0.715000, 0.389419, 0.322581
0.719000, 0.719000, 0.392419, 0.322581
0.722000, 0.722000, 0.396419, 0.322581
0.726000, 0.726000, 0.394532, 0.327468
0.730000, 0.730000, 0.398532, 0.327468
0.733000, 0.733000, 0.407419, 0.322581
0.736000, 0.736000, 0.395757, 0.337243
0.739000, 0.739000, 0.398757, 0.337243
0.743000, 0.743000, 0.421307, 0.317693
0.746000, 0.746000, 0.381319, 0.361681
0.749000, 0.749000, 0.369656, 0.376344
0.753000, 0.753000, 0.411757, 0.337243
0.756000, 0.756000, 0.376656, 0.376344
0.759000, 0.759000, 0.379656, 0.376344
0.763000, 0.763000, 0.421757, 0.337243
0.766000, 0.766000, 0.381768, 0.381232
0.770000, 0.770000, 0.384768, 0.381232
0.774000, 0.774000, 0.374106, 0.395894
0.777000, 0.777000, 0.392768, 0.381232
0.780000, 0.780000, 0.395768, 0.381232
0.784000, 0.784000, 0.393881, 0.386119
0.787000, 0.787000, 0.397881, 0.386119
0.790000, 0.790000, 0.400881, 0.386119
0.794000, 0.794000, 0.408768, 0.381232
0.797000, 0.797000, 0.407881, 0.386119
0.800000, 0.800000, 0.410881, 0.386119
0.804000, 0.804000, 0.404106, 0.395894
0.807000, 0.807000, 0.408106, 0.395894
0.811000, 0.811000, 0.406218, 0.400782
0.815000, 0.815000, 0.405330, 0.405670
0.818000, 0.818000, 0.409330, 0.405670
0.821000, 0.821000, 0.402555, 0.415445
0.824000, 0.824000, 0.400668, 0.420332
0.828000, 0.828000, 0.428106, 0.395894
0.831000, 0.831000, 0.402780, 0.425220
0.834000, 0.834000, 0.405780, 0.425220
0.838000, 0.838000, 0.442993, 0.391007
0.841000, 0.841000, 0.407892, 0.430108
0.844000, 0.844000, 0.410892, 0.430108
0.848000, 0.848000, 0.452993, 0.391007
0.851000, 0.851000, 0.408117, 0.439883
0.855000, 0.855000, 0.406230, 0.444770
0.859000, 0.859000, 0.390679, 0.464321
0.862000, 0.862000, 0.409342, 0.449658
0.865000, 0.865000, 0.407455, 0.454545
0.869000, 0.869000, 0.400679, 0.464321
0.872000, 0.872000, 0.414455, 0.454545
0.875000, 0.875000, 0.412567, 0.459433
0.879000, 0.879000, 0.410679, 0.464321
0.882000, 0.882000, 0.414679, 0.464321
0.885000, 0.885000, 0.417679, 0.464321
0.889000, 0.889000, 0.415792, 0.469208
0.892000, 0.892000, 0.419792, 0.469208
0.896000, 0.896000, 0.417904, 0.474096
0.900000, 0.900000, 0.421904, 0.474096
0.903000, 0.903000, 0.425904, 0.474096
0.906000, 0.906000, 0.428904, 0.474096
0.909000, 0.909000, 0.427017, 0.478983
0.913000, 0.913000, 0.454455, 0.454545
0.916000, 0.916000, 0.429129, 0.483871
0.919000, 0.919000, 0.432129, 0.483871
0.923000, 0.923000, 0.469342, 0.449658
0.926000, 0.926000, 0.429354, 0.493646
0.929000, 0.929000, 0.432354, 0.493646
0.933000, 0.933000, 0.479342, 0.449658
0.936000, 0.936000, 0.434466, 0.498534
0.940000, 0.940000, 0.432579, 0.503421
0.944000, 0.944000, 0.421916, 0.518084
0.947000, 0.947000, 0.435691, 0.508309
0.950000, 0.950000, 0.433804, 0.513196
0.954000, 0.954000, 0.427028, 0.522972
0.957000, 0.957000, 0.440804, 0.513196
0.960000, 0.960000, 0.443804, 0.513196
0.964000, 0.964000, 0.441916, 0.518084
0.967000, 0.967000, 0.441028, 0.522972
0.970000, 0.970000, 0.444028, 0.522972
0.974000, 0.974000, 0.447028, 0.522972
0.977000, 0.977000, 0.451028, 0.522972
0.980000, 0.980000, 0.449141, 0.527859
0.985000, 0.985000, 0.447253, 0.532747
0.988000, 0.988000, 0.452253, 0.532747
0.991000, 0.991000, 0.450366, 0.537634
0.994000, 0.994000, 0.448478, 0.542522
0.998000, 0.998000, 0.471028, 0.522972
1.001000, 1.001000, 0.455478, 0.542522
1.004000, 1.004000, 0.453590, 0.547410
1.008000, 1.008000, 0.490803, 0.513196
1.011000, 1.011000, 0.455703, 0.552297
1.014000, 1.014000, 0.458703, 0.552297
1.018000, 1.018000, 0.500804, 0.513196
1.021000, 1.021000, 0.455928, 0.562072
1.025000, 1.025000, 0.458928, 0.562072
1.029000, 1.029000, 0.448265, 0.576735
1.032000, 1.032000, 0.462040, 0.566960
1.035000, 1.035000, 0.460152, 0.571847
1.039000, 1.039000, 0.453377, 0.581623
1.042000, 1.042000, 0.462265, 0.576735
1.045000, 1.045000, 0.465265, 0.576735
1.049000, 1.049000, 0.463377, 0.581623
1.052000, 1.052000, 0.467377, 0.581623
1.055000, 1.055000, 0.465490, 0.586510
1.059000, 1.059000, 0.468490, 0.586510
1.062000, 1.062000, 0.467602, 0.591398
1.065000, 1.065000, 0.470602, 0.591398
1.070000, 1.070000, 0.468715, 0.596285
1.073000, 1.073000, 0.468827, 0.601173
1.076000, 1.076000, 0.471827, 0.601173
1.079000, 1.079000, 0.469939, 0.606061
1.083000, 1.083000, 0.477827, 0.601173
1.086000, 1.086000, 0.467164, 0.615836
1.089000, 1.089000, 0.460389, 0.625611
1.093000, 1.093000, 0.497602, 0.591398
1.096000, 1.096000, 0.462502, 0.630499
1.099000, 1.099000, 0.465501, 0.630499
1.103000, 1.103000, 0.512490, 0.586510
1.106000, 1.106000, 0.467614, 0.635386
1.110000, 1.110000, 0.470614, 0.635386
1.114000, 1.114000, 0.459951, 0.650049
1.117000, 1.117000, 0.473726, 0.640274
1.120000, 1.120000, 0.476726, 0.640274
1.124000, 1.124000, 0.465064, 0.654936
1.127000, 1.127000, 0.478839, 0.645161
1.130000, 1.130000, 0.476951, 0.650049
1.134000, 1.134000, 0.479951, 0.650049
1.137000, 1.137000, 0.483951, 0.650049
1.140000, 1.140000, 0.482064, 0.654936
1.144000, 1.144000, 0.480176, 0.659824
1.147000, 1.147000, 0.484176, 0.659824
1.150000, 1.150000, 0.482288, 0.664712
1.155000, 1.155000, 0.480401, 0.669599
1.158000, 1.158000, 0.480513, 0.674487
1.161000, 1.161000, 0.478626, 0.679374
1.165000, 1.165000, 0.471850, 0.689150
1.168000, 1.168000, 0.495401, 0.669599
1.171000, 1.171000, 0.478850, 0.689150
1.174000, 1.174000, 0.476963, 0.694037
1.178000, 1.178000, 0.509288, 0.664712
1.181000, 1.181000, 0.479075, 0.698925
1.184000, 1.184000, 0.482075, 0.698925
1.188000, 1.188000, 0.519288, 0.664712
1.191000, 1.191000, 0.479300, 0.708700
1.195000, 1.195000, 0.477413, 0.713587
1.199000, 1.199000, 0.461862, 0.733138
1.202000, 1.202000, 0.475637, 0.723363
1.205000, 1.205000, 0.473750, 0.728250
1.209000, 1.209000, 0.462087, 0.742913
1.212000, 1.212000, 0.480750, 0.728250
1.215000, 1.215000, 0.478862, 0.733138
1.219000, 1.219000, 0.476975, 0.738025
1.222000, 1.222000, 0.480975, 0.738025
1.225000, 1.225000, 0.479087, 0.742913
1.229000, 1.229000, 0.477199, 0.747801
1.232000, 1.232000, 0.481199, 0.747801
1.235000, 1.235000, 0.479312, 0.752688
1.240000, 1.240000, 0.482312, 0.752688
1.243000, 1.243000, 0.482424, 0.757576
1.246000, 1.246000, 0.485424, 0.757576
1.250000, 1.250000, 0.483537, 0.762463
1.253000, 1.253000, 0.492424, 0.757576
1.256000, 1.256000, 0.485649, 0.767351
1.259000, 1.259000, 0.483762, 0.772238
1.263000, 1.263000, 0.516087, 0.742913
1.266000, 1.266000, 0.485874, 0.777126
1.269000, 1.269000, 0.488874, 0.777126
1.273000, 1.273000, 0.535862, 0.733138
1.276000, 1.276000, 0.495874, 0.777126
1.280000, 1.280000, 0.493986, 0.782014
1.284000, 1.284000, 0.488211, 0.791789
1.287000, 1.287000, 0.501986, 0.782014
1.290000, 1.290000, 0.500099, 0.786901
1.294000, 1.294000, 0.488436, 0.801564
1.297000, 1.297000, 0.497324, 0.796676
1.300000, 1.300000, 0.495436, 0.801564
1.304000, 1.304000, 0.493548, 0.806452
1.307000, 1.307000, 0.497548, 0.806452
1.310000, 1.310000, 0.495661, 0.811339
1.314000, 1.314000, 0.493773, 0.816227
1.317000, 1.317000, 0.497773, 0.816227
1.320000, 1.320000, 0.495886, 0.821114
1.325000, 1.325000, 0.498886, 0.821114
1.328000, 1.328000, 0.498998, 0.826002
1.331000, 1.331000, 0.501998, 0.826002
1.335000, 1.335000, 0.500110, 0.830890
1.338000, 1.338000, 0.508998, 0.826002
1.341000, 1.341000, 0.502223, 0.835777
1.344000, 1.344000, 0.500335, 0.840665
1.348000, 1.348000, 0.513110, 0.830890
1.351000, 1.351000, 0.497560, 0.850440
1.354000, 1.354000, 0.500560, 0.850440
1.358000, 1.358000, 0.537773, 0.816227
1.361000, 1.361000, 0.497785, 0.860215
1.364000, 1.364000, 0.495897, 0.865103
1.369000, 1.369000, 0.552661, 0.811339
1.372000, 1.372000, 0.499010, 0.869990
1.375000, 1.375000, 0.502010, 0.869990
1.379000, 1.379000, 0.490347, 0.884653
1.382000, 1.382000, 0.504122, 0.874878
