Tempo, Referencia, Erro, Posicao
"0,786","0,786","0,665698","0,117302"
"0,79","0,79","0,668698","0,117302"
"0,793","0,793","0,706911","0,083089"
"0,796","0,796","0,67081","0,12219"
"0,799","0,799","0,67381","0,12219"
"0,803","0,803","0,720799","0,078201"
"0,806","0,806","0,675923","0,127077"
"0,809","0,809","0,678923","0,127077"
"0,814","0,814","0,730799","0,078201"
"0,817","0,817","0,677148","0,136852"
"0,82","0,82","0,67526","0,14174"
"0,824","0,824","0,65871","0,16129"
"0,827","0,827","0,672485","0,151515"
"0,83","0,83","0,675485","0,151515"
"0,834","0,834","0,66871","0,16129"
"0,837","0,837","0,67271","0,16129"
"0,84","0,84","0,670822","0,166178"
"0,844","0,844","0,673822","0,166178"
"0,847","0,847","0,672934","0,171065"
"0,85","0,85","0,671047","0,175953"
"0,855","0,855","0,669159","0,180841"
"0,858","0,858","0,674159","0,180841"
"0,861","0,861","0,672272","0,185728"
"0,865","0,865","0,670384","0,190616"
"0,868","0,868","0,689047","0,175953"
"0,871","0,871","0,672497","0,195503"
"0,875","0,875","0,675497","0,195503"
"0,878","0,878","0,703934","0,171065"
"0,881","0,881","0,672721","0,205279"
"0,884","0,884","0,680609","0,200391"
"0,888","0,888","0,717822","0,166178"
"0,891","0,891","0,682721","0,205279"
"0,894","0,894","0,680834","0,210166"
"0,899","0,899","0,73271","0,16129"
"0,902","0,902","0,688834","0,210166"
"0,905","0,905","0,691834","0,210166"
"0,909","0,909","0,680171","0,224829"
"0,912","0,912","0,693946","0,215054"
"0,915","0,915","0,696946","0,215054"
"0,919","0,919","0,685283","0,229717"
"0,922","0,922","0,694171","0,224829"
"0,925","0,925","0,692283","0,229717"
"0,929","0,929","0,685508","0,239492"
"0,932","0,932","0,689508","0,239492"
"0,935","0,935","0,687621","0,244379"
"0,94","0,94","0,690621","0,244379"
"0,943","0,943","0,690733","0,249267"
"0,946","0,946","0,688846","0,254154"
"0,95","0,95","0,691846","0,254154"
"0,953","0,953","0,700733","0,249267"
"0,956","0,956","0,693958","0,259042"
"0,96","0,96","0,687183","0,268817"
"0,963","0,963","0,710733","0,249267"
"0,966","0,966","0,684408","0,278592"
"0,969","0,969","0,687408","0,278592"
"0,973","0,973","0,724621","0,244379"
"0,976","0,976","0,68952","0,28348"
"0,979","0,979","0,682745","0,293255"
"0,984","0,984","0,729733","0,249267"
"0,987","0,987","0,685857","0,298143"
"0,99","0,99","0,68397","0,30303"
"0,994","0,994","0,672307","0,317693"
"0,997","0,997","0,686082","0,307918"
1,1,"0,684195","0,312805"
"1,004","1,004","0,677419","0,322581"
"1,007","1,007","0,691194","0,312805"
"1,01","1,01","0,694194","0,312805"
"1,014","1,014","0,697195","0,312805"
"1,017","1,017","0,701195","0,312805"
"1,02","1,02","0,699307","0,317693"
"1,025","1,025","0,702307","0,317693"
"1,028","1,028","0,707307","0,317693"
"1,031","1,031","0,710307","0,317693"
"1,035","1,035","0,708419","0,322581"
"1,038","1,038","0,712419","0,322581"
"1,041","1,041","0,705644","0,332356"
"1,045","1,045","0,708644","0,332356"
"1,048","1,048","0,732194","0,312805"
"1,051","1,051","0,705869","0,342131"
"1,055","1,055","0,694206","0,356794"
"1,058","1,058","0,722644","0,332356"
"1,061","1,061","0,681656","0,376344"
"1,064","1,064","0,684656","0,376344"
"1,069","1,069","0,731644","0,332356"
"1,072","1,072","0,687768","0,381232"
"1,075","1,075","0,690768","0,381232"
"1,079","1,079","0,683993","0,391007"
"1,082","1,082","0,697768","0,381232"
"1,085","1,085","0,700768","0,381232"
"1,089","1,089","0,698881","0,386119"
"1,092","1,092","0,702881","0,386119"
"1,095","1,095","0,705881","0,386119"
"1,099","1,099","0,708881","0,386119"
"1,102","1,102","0,712881","0,386119"
"1,105","1,105","0,706106","0,395894"
"1,11","1,11","0,704218","0,400782"
"1,113","1,113","0,70433","0,40567"
"1,116","1,116","0,692668","0,420332"
"1,12","1,12","0,695668","0,420332"
"1,123","1,123","0,699668","0,420332"
"1,126","1,126","0,69778","0,42522"
"1,13","1,13","0,70078","0,42522"
"1,133","1,133","0,719443","0,410557"
"1,136","1,136","0,702892","0,430108"
"1,14","1,14","0,701005","0,434995"
"1,143","1,143","0,73433","0,40567"
"1,146","1,146","0,69823","0,44477"
"1,149","1,149","0,70123","0,44477"
"1,154","1,154","0,74333","0,40567"
"1,157","1,157","0,699455","0,454545"
"1,16","1,16","0,702454","0,454545"
"1,164","1,164","0,690792","0,469208"
"1,167","1,167","0,699679","0,464321"
"1,17","1,17","0,702679","0,464321"
"1,174","1,174","0,705679","0,464321"
"1,177","1,177","0,704792","0,469208"
"1,18","1,18","0,707792","0,469208"
"1,184","1,184","0,705904","0,474096"
"1,187","1,187","0,709904","0,474096"
"1,19","1,19","0,708017","0,478983"
"1,195","1,195","0,706129","0,483871"
"1,198","1,198","0,711129","0,483871"
"1,201","1,201","0,709241","0,488759"
